,food_commodity_group,food_commodity_item,CF_food_item,uncertainty,Suggested CF value,food_commodity_typology,CF_food_typology,Food_commodity_sub-TYPOLOGY,CF_food_sub_typology
0,AGRICULTURAL PROCESSED,BEER IN CAN,0.693,L,OK item,BEER,0.69,,
1,AGRICULTURAL PROCESSED,BEER IN GLASS,0.9605,L,OK item,BEER,0.69,,
2,AGRICULTURAL PROCESSED,BEER MODULAR CAN,0.5306,L,OK item,BEER,0.69,,
3,AGRICULTURAL PROCESSED,CHOCOLATE OR CREAM FILLED COOKIES**,1.533,L,OK item,BISCUITS,1.47,,
4,AGRICULTURAL PROCESSED,SIMPLE COOKIES**,1.39075,L,OK item,BISCUITS,1.47,,
5,AGRICULTURAL PROCESSED,MINERAL WATER*,0.491,H,Item matching typology,BOTTLED WATER* (mineral water),0.49,,
6,AGRICULTURAL PROCESSED,BREAD MULTICEREAL**,0.703,H,better typology,BREAD,0.86,,
7,AGRICULTURAL PROCESSED,BREAD PLAIN**,0.885,L,OK item,BREAD,0.86,,
8,AGRICULTURAL PROCESSED,BREAD WHOLE**,0.772,L,OK item,BREAD,0.86,,
9,AGRICULTURAL PROCESSED,BREAD FROZEN (F)*,1.31,H,Item matching typology,BREAD FROZEN* (rolls frozen),1.31,,
10,AGRICULTURAL PROCESSED,CORNFLAKES*,2.64,H,Item matching typology,BREAKFAST CEREALS* (cornflakes),2.64,,
11,AGRICULTURAL PROCESSED,DARK CHOCOLATE,2.71,H,better typology,CHOCOLATE,3.16,,
12,AGRICULTURAL PROCESSED,MILK CHOCOLATE,3.6,H,better typology,CHOCOLATE,3.16,,
13,AGRICULTURAL PROCESSED,COFFEE GROUND,5.129285715,H,better typology,COFFEE GROUND & PARCHMENT,6.71,,
14,AGRICULTURAL PROCESSED,COFFEE PARCHMENT,8.29,L,OK item,COFFEE GROUND & PARCHMENT,6.71,,
15,AGRICULTURAL PROCESSED,COFFEE DRIP FILTERED (L),0.595,H,better typology,COFFEE LIQUID,0.55,,
16,AGRICULTURAL PROCESSED,COFFEE SOLUBLE POWDER (L),0.33,H,better typology,COFFEE LIQUID,0.55,,
17,AGRICULTURAL PROCESSED,ESPRESSO (L),0.55,H,better typology,COFFEE LIQUID,0.55,,
18,AGRICULTURAL PROCESSED,FLAVORED CRACKERS**,0.9265,L,OK item,CRACKERS,0.98,,
19,AGRICULTURAL PROCESSED,PLAIN CRACKERS**,1.34825,L,OK item,CRACKERS,0.98,,
20,AGRICULTURAL PROCESSED,WHOLEGRAIN CRACKERS**,0.9725,L,OK item,CRACKERS,0.98,,
21,AGRICULTURAL PROCESSED,CRISPBREAD**,1.348,L,OK item,CRISPBREAD**,1.35,,
22,AGRICULTURAL PROCESSED,KETCHUP,1.464,H,better typology,DRESSING,1.46,,
23,AGRICULTURAL PROCESSED,MAYONNAISE,2.04,H,better typology,DRESSING,1.46,,
24,AGRICULTURAL PROCESSED,TEMPE',1.1,H,better typology,DRESSING,1.46,,
25,AGRICULTURAL PROCESSED,EGG PASTA*,3.1511,L,Item matching typology,EGG PASTA*,3.15,,
26,AGRICULTURAL PROCESSED,RASPBERRIES (F)*,1.175,H,Item matching typology,FRUIT FROZEN* (raspberry),1.18,,
27,AGRICULTURAL PROCESSED,APPLE JUICE (I),2.84,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
28,AGRICULTURAL PROCESSED,BLUEBERRY JUICE (I),3.0,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
29,AGRICULTURAL PROCESSED,CRANBERRY JUICE (I),2.88,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
30,AGRICULTURAL PROCESSED,FIG JUICE (I),3.2,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
31,AGRICULTURAL PROCESSED,KIWI JUICE (I),2.84,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
32,AGRICULTURAL PROCESSED,MANGO JUICE (I),2.96,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
33,AGRICULTURAL PROCESSED,PINEAPPLE JUICE (I),2.78,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
34,AGRICULTURAL PROCESSED,STRAWBERRY JUICE (I),2.68,H,better typology,FRUIT JUICE (imported ingredients),2.86,,
35,AGRICULTURAL PROCESSED,ORANGE JUICE,0.461,L,OK item,FRUIT JUICE LOCAL,0.48,,
36,AGRICULTURAL PROCESSED,PEAR JUICE,0.49045,H,better typology,FRUIT JUICE LOCAL,0.48,,
37,AGRICULTURAL PROCESSED,BUCKWHEAT FLOUR,1.96,H,better typology,GRAIN FLOUR,0.87,,
38,AGRICULTURAL PROCESSED,DURUM WHEAT,0.46712,L,OK item,GRAIN FLOUR,0.87,,
39,AGRICULTURAL PROCESSED,GRAHAM FLOUR,0.47,H,better typology,GRAIN FLOUR,0.87,,
40,AGRICULTURAL PROCESSED,MAIZE FLOUR,1.31,H,better typology,GRAIN FLOUR,0.87,,
41,AGRICULTURAL PROCESSED,MILLET FLOUR,1.37,H,better typology,GRAIN FLOUR,0.87,,
42,AGRICULTURAL PROCESSED,OAT MEAL,0.87,L,OK item,GRAIN FLOUR,0.87,,
43,AGRICULTURAL PROCESSED,SORGHUM FLOUR,1.33,H,better typology,GRAIN FLOUR,0.87,,
44,AGRICULTURAL PROCESSED,WHEAT PLAIN FLOUR,0.52,L,OK item,GRAIN FLOUR,0.87,,
45,AGRICULTURAL PROCESSED,WHOLE WHEAT FLOUR,0.3647164179,L,OK item,GRAIN FLOUR,0.87,,
46,AGRICULTURAL PROCESSED,CHOCOLATE,6.6,H,better typology,ICE CREAM,4.3,,
47,AGRICULTURAL PROCESSED,ICE CREAM,1.02,H,better typology,ICE CREAM,4.3,,
48,AGRICULTURAL PROCESSED,VANILLA,4.3,H,better typology,ICE CREAM,4.3,,
49,AGRICULTURAL PROCESSED,AZUKI BEAN FLOUR,1.32,H,better typology,LEGUME FLOUR,1.32,,
50,AGRICULTURAL PROCESSED,MUNG BEAN FLOUR,1.49,H,better typology,LEGUME FLOUR,1.32,,
51,AGRICULTURAL PROCESSED,SOY MEAL,0.62,H,better typology,LEGUME FLOUR,1.32,,
52,AGRICULTURAL PROCESSED,BEANS IN CAN,0.109,H,better typology,LEGUMES CANNED,0.78,,
53,AGRICULTURAL PROCESSED,GREEN BEANS IN CAN,1.45,H,better typology,LEGUMES CANNED,0.78,,
54,AGRICULTURAL PROCESSED,BEANS (F),1.77,H,better typology,LEGUMES FROZEN,2.26,,
55,AGRICULTURAL PROCESSED,GREEN BEANS (F),2.741769912,H,better typology,LEGUMES FROZEN,2.26,,
56,AGRICULTURAL PROCESSED,MARGARINE*,1.39,L,Item matching typology,MARGARINE*,1.39,,
57,AGRICULTURAL PROCESSED,ALMOND COVERED WITH CHOCOLATE,4.8,H,better typology,NUTS COVERED WITH CHOCOLATE,4.12,,
58,AGRICULTURAL PROCESSED,HAZELNUT COVERED WITH CHOCOLATE,3.43,H,better typology,NUTS COVERED WITH CHOCOLATE,4.12,,
59,AGRICULTURAL PROCESSED,ALMOND PASTE,2.98,H,better typology,NUTS PASTE,1.84,,
60,AGRICULTURAL PROCESSED,HAZELNUT CREAM,2.71,H,better typology,NUTS PASTE,1.84,,
61,AGRICULTURAL PROCESSED,HAZELNUT PASTE,1.685,H,better typology,NUTS PASTE,1.84,,
62,AGRICULTURAL PROCESSED,PEANUT BUTTER,1.15,H,better typology,NUTS PASTE,1.84,,
63,AGRICULTURAL PROCESSED,PEANUT PASTE,1.84,H,better typology,NUTS PASTE,1.84,,
64,AGRICULTURAL PROCESSED,OLIVE OIL,3.265,L,OK item,OIL,2.11,,
65,AGRICULTURAL PROCESSED,PALM OIL,2.432,L,OK item,OIL,2.11,,
66,AGRICULTURAL PROCESSED,PEANUT OIL,2.8975,H,better typology,OIL,2.11,,
67,AGRICULTURAL PROCESSED,RAPESEED OIL,1.78604,L,OK item,OIL,2.11,,
68,AGRICULTURAL PROCESSED,SOYBEAN OIL,1.787,L,OK item,OIL,2.11,,
69,AGRICULTURAL PROCESSED,SUNFLOWER OIL,0.9846,L,OK item,OIL,2.11,,
70,AGRICULTURAL PROCESSED,PASTA*,1.2055,L,OK item,PASTA*,1.21,,
71,AGRICULTURAL PROCESSED,PESTO,2.713,H,better typology,PESTO,2.72,,
72,AGRICULTURAL PROCESSED,PESTO WITHOUT GARLIC,2.717,H,better typology,PESTO,2.72,,
73,AGRICULTURAL PROCESSED,BEET SUGAR,0.94,L,OK item,SUGAR,0.78,,
74,AGRICULTURAL PROCESSED,CANE SUGAR,0.62367,L,OK item,SUGAR,0.78,,
75,AGRICULTURAL PROCESSED,CAKES AND CROISSANT**,2.139,L,OK item,SWEETS,1.99,,
76,AGRICULTURAL PROCESSED,COCOA CAKES AND CROISSANT**,1.9365,L,OK item,SWEETS,1.99,,
77,AGRICULTURAL PROCESSED,TOMATO CHOPPED,1.47275,L,OK item,"TOMATO PUREE,PEELED, CHOPPED",1.3,,
78,AGRICULTURAL PROCESSED,TOMATO PEELED,1.2989,H,better typology,"TOMATO PUREE,PEELED, CHOPPED",1.3,,
79,AGRICULTURAL PROCESSED,TOMATO PUREE,1.0311,L,OK item,"TOMATO PUREE,PEELED, CHOPPED",1.3,,
80,AGRICULTURAL PROCESSED,TOMATO & BASIL,1.1415,L,OK item,TOMATO SAUCE,1.19,,
81,AGRICULTURAL PROCESSED,TOMATO ARRABBIATA,1.244,L,OK item,TOMATO SAUCE,1.19,,
82,AGRICULTURAL PROCESSED,CARROTS CANNED,1.6,H,better typology,VEGETABLES CANNED,1.48,,
83,AGRICULTURAL PROCESSED,CORN CANNED,1.355,H,better typology,VEGETABLES CANNED,1.48,,
84,AGRICULTURAL PROCESSED,CARROTS (F),0.267,H,better typology,VEGETABLES FROZEN,0.81,,
85,AGRICULTURAL PROCESSED,ZUCCHINI (F),1.35,H,better typology,VEGETABLES FROZEN,0.81,,
86,AGRICULTURAL PROCESSED,SOY CREAM*,1.62,H,Item matching typology,VEGETAL CREAM* (soy cream),1.62,,
87,AGRICULTURAL PROCESSED,ALMOND MILK,0.4179027998,H,better typology,VEGETAL MILK,0.54,,
88,AGRICULTURAL PROCESSED,COCONUT MILK,0.4126201796,H,better typology,VEGETAL MILK,0.54,,
89,AGRICULTURAL PROCESSED,RICE MILK,0.6602,H,better typology,VEGETAL MILK,0.54,,
90,AGRICULTURAL PROCESSED,SOY MILK,0.78,L,OK item,VEGETAL MILK,0.54,,
91,AGRICULTURAL PROCESSED,QUORNE,2.5,H,better typology,VEGETAL PROTEINS,2.27,,
92,AGRICULTURAL PROCESSED,SOY BURGER,1.48,H,better typology,VEGETAL PROTEINS,2.27,,
