,food_commodity_group,food_commodity_item,CF_food_item,uncertainty,Suggested CF value,food_commodity_typology,CF_food_typology,Food_commodity_sub-TYPOLOGY,CF_food_sub_typology
93,AGRICULTURAL PROCESSED,TOFU,2.27,L,OK item,VEGETAL PROTEINS,2.27,,
94,AGRICULTURAL PROCESSED,SOY YOGURT*,1.36,H,Item matching typology,VEGETAL YOGURT (soy yogurt),1.36,,
95,AGRICULTURAL PROCESSED,WINE RED,0.873,L,OK item,WINE,0.66,,
96,AGRICULTURAL PROCESSED,WINE WHITE,0.4444,H,better typology,WINE,0.66,,
97,AGRICULTURAL PROCESSED,YEAST COMPRESSED*,0.824,H,Item matching typology,YEAST COMPRESSED*,0.824,,
98,AGRICULTURAL PROCESSED,YEAST DRIED*,3.294,H,Item matching typology,YEAST DRIED*,3.294,,
99,AGRICULTURAL PROCESSED,YEAST LIQUID*,0.503,H,Item matching typology,YEAST LIQUID*,0.503,,
100,ANIMAL HUSBANDRY,BEEF BONE FREE MEAT*,25.751,H,Item matching typology,BEEF BONE FREE MEAT*,25.75,,
101,ANIMAL HUSBANDRY,BEEF MEAT WITH BONE*,17.9582,L,OK item,BEEF MEAT WITH BONE*,17.96,,
102,ANIMAL HUSBANDRY,BUFFALO BONE FREE MEAT*,78.80017544,H,Item matching typology,BUFFALO BONE FREE MEAT*,78.8,,
103,ANIMAL HUSBANDRY,BUTTER*,8.48,L,OK item,BUTTER*,8.48,,
104,ANIMAL HUSBANDRY,CREAM,5.45,L,OK item,CHEESE FRESH,5.45,,
105,ANIMAL HUSBANDRY,MASCARPONE,5.7,H,better typology,CHEESE FRESH,5.45,,
106,ANIMAL HUSBANDRY,MOZZARELLA,8.2,L,OK item,CHEESE FRESH,5.45,,
107,ANIMAL HUSBANDRY,RICOTTA,3.4,H,better typology,CHEESE FRESH,5.45,,
108,ANIMAL HUSBANDRY,STRACCHINO,4.92,H,better typology,CHEESE FRESH,5.45,,
109,ANIMAL HUSBANDRY,ASIAGO,10.24,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
110,ANIMAL HUSBANDRY,CAMEMBERT,7.55,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
111,ANIMAL HUSBANDRY,CEDDAR,11.207,L,OK item,CHEESE HARD & SEMI-HARD,9.59,,
112,ANIMAL HUSBANDRY,CHEESE,8.933333333,L,OK item,CHEESE HARD & SEMI-HARD,9.59,,
113,ANIMAL HUSBANDRY,CHEESE SEMI-HARD,8.647,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
114,ANIMAL HUSBANDRY,EMMENTAL,8.2,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
115,ANIMAL HUSBANDRY,GOAT CHEESE,8.35,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
116,ANIMAL HUSBANDRY,GRANA PADANO,15.34,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
117,ANIMAL HUSBANDRY,PARMIGIANO REGGIANO,12.54,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
118,ANIMAL HUSBANDRY,PECORINO,17.15,H,better typology,CHEESE HARD & SEMI-HARD,9.59,,
119,ANIMAL HUSBANDRY,MEALWORMS*,2.84,H,Item matching typology,EDIBLE INSECTS* (mealworms),2.84,,
120,ANIMAL HUSBANDRY,EGGS*,3.2,L,OK item,EGGS*,3.2,,
121,ANIMAL HUSBANDRY,HONEY*,1.7425,H,Item matching typology,HONEY*,1.74,,
122,ANIMAL HUSBANDRY,KANGAROO MEAT*,4.1,H,Item matching typology,KANGAROO MEAT*,4.1,,
123,ANIMAL HUSBANDRY,LAMB BONE FREE MEAT*,25.23255814,L,OK item,LAMB BONE FREE MEAT*,25.23255814,,
124,ANIMAL HUSBANDRY,LAMB MEAT WITH BONE*,16.70108837,L,OK item,LAMB MEAT WITH BONE*,16.70108837,,
125,ANIMAL HUSBANDRY,BUFFALO MILK,3.57,L,OK item,MILK,1.437,,
126,ANIMAL HUSBANDRY,COW MILK,1.305,L,OK item,MILK,1.437,,
127,ANIMAL HUSBANDRY,GOAT MILK,1.437,H,better typology,MILK,1.437,,
128,ANIMAL HUSBANDRY,PORK BONE FREE MEAT*,5.716744186,L,OK item,PORK BONE FREE MEAT*,5.716744186,,
129,ANIMAL HUSBANDRY,BACON,4.025,H,better typology,PORK CURED MEAT,5.985,,
130,ANIMAL HUSBANDRY,NECK,4.025,H,better typology,PORK CURED MEAT,5.985,,
131,ANIMAL HUSBANDRY,PORK HAM,7.945,L,OK item,PORK CURED MEAT,5.985,,
132,ANIMAL HUSBANDRY,PORK SAUSAGES,17.94,H,better typology,PORK CURED MEAT,5.985,,
133,ANIMAL HUSBANDRY,PORK MEAT WITH BONE*,3.444,L,OK item,PORK MEAT WITH BONE*,3.444,,
134,ANIMAL HUSBANDRY,CHICKEN BONE FREE MEAT,3.676746753,L,OK item,POULTRY BONE FREE MEAT,3.880595599,,
135,ANIMAL HUSBANDRY,EMU BONE FREE MEAT,1.5,H,better typology,POULTRY BONE FREE MEAT,3.880595599,,
136,ANIMAL HUSBANDRY,DUCK MEAT BONE FREE*,4.1,H,better typology,POULTRY BONE FREE MEAT,3.880595599,,
137,ANIMAL HUSBANDRY,TURKEY MEAT BONE FREE,4.084444445,L,item or typology,POULTRY BONE FREE MEAT,3.880595599,,
138,ANIMAL HUSBANDRY,CHICKEN MEAT WITH BONE,2.8221,L,OK item,POULTRY MEAT WITH BONE,2.13,,
139,ANIMAL HUSBANDRY,DUCK MEAT WITH BONE*,2.07,H,better typology,POULTRY MEAT WITH BONE,2.13,,
140,ANIMAL HUSBANDRY,TURKEY MEAT WITH BONE,2.13,L,OK item,POULTRY MEAT WITH BONE,2.13,,
141,ANIMAL HUSBANDRY,RABBIT MEAT WITH BONE*,4.305,H,Item matching typology,RABBIT MEAT WITH BONE*,4.31,,
142,ANIMAL HUSBANDRY,SNAILS*,0.73,H,Item matching typology,SNAILS*,0.73,,
143,ANIMAL HUSBANDRY,YOGURT FLAVOURED**,2.8532,L,OK item,YOGURT,2.55,,
144,ANIMAL HUSBANDRY,YOGURT LACTOSE FREE,3.47,L,item or typology,YOGURT,2.55,,
145,ANIMAL HUSBANDRY,YOGURT WHITE,1.69,L,OK item,YOGURT,2.55,,
146,CROPS,COFFEE GREEN*,0.486,L,OK item,COFFEE GREEN*,0.49,,
147,CROPS,DATE,0.6,H,better typology,DRIED FRUIT,0.81,,
148,CROPS,RAISIN,0.81,L,OK item,DRIED FRUIT,0.81,,
149,CROPS,EXOTIC FRUIT (G),2.43,H,better typology,FRUIT HEATED GREENHOUSE,2.88,,
150,CROPS,RASPBERRY (G),7.35,H,better typology,FRUIT HEATED GREENHOUSE,2.88,,
151,CROPS,STRAWBERRY (G),2.884587629,L,OK item,FRUIT HEATED GREENHOUSE,2.88,,
152,CROPS,AVOCADO (I),1.09,L,OK item,FRUIT IMPORTED,1.07,,
153,CROPS,BANANA (I),0.8175,L,OK item,FRUIT IMPORTED,1.07,,
154,CROPS,COCONUT (I),1.78,H,better typology,FRUIT IMPORTED,1.07,,
155,CROPS,EXOTIC FRUIT (I),2.43,H,better typology,FRUIT IMPORTED,1.07,,
156,CROPS,PINEAPPLE (I),0.5454545455,L,OK item,FRUIT IMPORTED,1.07,,
157,CROPS,POMEGRANATE (I),1.165384615,H,better typology,FRUIT IMPORTED,1.07,,
158,CROPS,STRAWBERRY (I),0.837,H,better typology,FRUIT IMPORTED,1.07,,
159,CROPS,MELON (g)*,1.4285,L,OK item,FRUIT NOT HEATED GREENHOUSE* (melon),1.43,,
160,CROPS,CLEMENTINE,0.409,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
161,CROPS,LEMON,0.22,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
162,CROPS,LIME,0.22,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
163,CROPS,MANDARIN,0.446,L,OK item,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
164,CROPS,ORANGE,0.3,L,OK item,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
165,CROPS,POMELO,0.51,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
166,CROPS,TANGERIN,0.384545,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,CITRUS FRUIT ,0.34
167,CROPS,APPLE,0.2539,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
168,CROPS,APRICOT,0.296,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
169,CROPS,AVOCADO,0.5405,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
170,CROPS,BANANA,0.34,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
171,CROPS,CARROB,1.1035,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
172,CROPS,CHERRY,0.458,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
173,CROPS,FIG,0.258,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
174,CROPS,GRAPES,0.31,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
175,CROPS,GUAVA,0.279,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
176,CROPS,KIWI,0.4944,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
177,CROPS,MANGO,0.309,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
178,CROPS,MELON,0.612545,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
179,CROPS,PEACH,0.385,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
180,CROPS,PEAR,0.274,L,OK item,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
181,CROPS,PINEAPPLE,0.28,L,item or typology or subtypology,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
182,CROPS,PLUM,0.258,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
183,CROPS,POMEGRANATE,0.32,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
184,CROPS,ROCKMELON,0.39,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
185,CROPS,WATERMELON,0.52,H,better typol. or subtypol.,FRUIT OPENFIELD,0.4,FRUIT OTHER ,0.32
186,CROPS,OLIVES,0.636,L,OK item,FRUIT OPENFIELD,0.4,OLIVES* ,0.64
187,CROPS,BLACKBERRY,0.421,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
188,CROPS,BLUEBERRY,0.775,L,OK item,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
189,CROPS,CRANBERRY,0.87,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
190,CROPS,CURRANT,0.6385,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
191,CROPS,GOOSEBERRY,0.84,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
192,CROPS,RASPBERRY,0.632,H,better subtypology,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
193,CROPS,STRAWBERRY,0.61,L,OK item,FRUIT OPENFIELD,0.4,WILD BERRIES ,0.64
194,CROPS,BARLEY,0.48,L,OK item,GRAINS,0.57,,
195,CROPS,MAIZE,0.48,L,item or typology,GRAINS,0.57,,
196,CROPS,MILLET,0.855,H,better typology,GRAINS,0.57,,
197,CROPS,OAT,0.67,L,OK item,GRAINS,0.57,,
198,CROPS,QUINOA,0.974,L,OK item,GRAINS,0.57,,
199,CROPS,RYE,0.38,H,better typology,GRAINS,0.57,,
200,CROPS,SORGHUM,0.88,H,better typology,GRAINS,0.57,,
201,CROPS,WHEAT,0.5715,L,OK item,GRAINS,0.57,,
202,CROPS,BEAN,0.433,L,OK item,LEGUMES,0.52,,
203,CROPS,CHICKPEA,0.77,H,better typology,LEGUMES,0.52,,
204,CROPS,COWPEA,0.485,L,OK item,LEGUMES,0.52,,
205,CROPS,GREEN BEAN (fresh),0.515,L,OK item,LEGUMES,0.52,,
206,CROPS,LENTIL,1.03,H,better typology,LEGUMES,0.52,,
207,CROPS,PEA,0.446,L,OK item,LEGUMES,0.52,,
208,CROPS,SOYBEAN,0.5602,L,OK item,LEGUMES,0.52,,
209,CROPS,GREEN BEAN (fresh) (g)*,0.2755,L,OK item,LEGUMES NOT HEATED GREENHOUSE (green bean),0.28,,
210,CROPS,MUSHROOM*,2.062835052,L,OK item,MUSHROOM*,2.06,,
211,CROPS,ALMOND,1.88,L,OK item,NUTS,1.11,,
212,CROPS,CASHEW NUT,1.382,L,OK item,NUTS,1.11,,
213,CROPS,CHESTNUT,0.44,H,better typology,NUTS,1.11,,
214,CROPS,HAZELNUT,1.112,L,OK item,NUTS,1.11,,
215,CROPS,MIXED NUTS,0.47,H,better typology,NUTS,1.11,,
216,CROPS,PALM NUT,0.8,H,better typology,NUTS,1.11,,
217,CROPS,PEANUT,0.8305,L,OK item,NUTS,1.11,,
218,CROPS,PISTACHIO,1.6,L,OK item,NUTS,1.11,,
219,CROPS,WALNUT,2.06,L,OK item,NUTS,1.11,,
220,CROPS,RICE*,2.188780487804878,L,OK item,RICE*,2.19,,
221,CROPS,RAPE SEED,0.782,H,better typology,SEEDS,0.88,,
222,CROPS,SESAM SEED,0.88,H,better typology,SEEDS,0.88,,
223,CROPS,SUNFLOWER SEED,1.1595,H,better typology,SEEDS,0.88,,
224,CROPS,CHILLY,0.8,H,better typology,SPICIES,0.84,,
225,CROPS,GINGER,0.88,H,better typology,SPICIES,0.84,,
226,CROPS,POTATO,0.24,L,OK item,STARCHY TUBERS,0.27,,
227,CROPS,STARCHY ROOTS,0.29,H,better typology,STARCHY TUBERS,0.27,,
228,CROPS,SWEET POTATO,0.27,H,better typology,STARCHY TUBERS,0.27,,
229,CROPS,CUCUMBER (G),2.54609375,L,OK item,VEGETABLES HEATED GREENHOUSE,2.55,,
230,CROPS,GERKIN (G),2.115,L,item or typology,VEGETABLES HEATED GREENHOUSE,2.55,,
231,CROPS,LETTUCE (G),2.67,L,OK item,VEGETABLES HEATED GREENHOUSE,2.55,,
232,CROPS,PEPPER (G),3.725,L,OK item,VEGETABLES HEATED GREENHOUSE,2.55,,
233,CROPS,TOMATO (G),2.425,L,OK item,VEGETABLES HEATED GREENHOUSE,2.55,,
234,CROPS,CUCUMBER (g),0.32,H,better typology,VEGETABLES NOT HEATED GREENHOUSE,1.18,,
235,CROPS,EGGPLANT (g),2.9,H,better typology,VEGETABLES NOT HEATED GREENHOUSE,1.18,,
236,CROPS,PEPPER (g),1.175,H,better typology,VEGETABLES NOT HEATED GREENHOUSE,1.18,,
237,CROPS,TOMATO (g),0.90855,L,OK item,VEGETABLES NOT HEATED GREENHOUSE,1.18,,
238,CROPS,ZUCCHINI (g),1.7714,H,better typology,VEGETABLES NOT HEATED GREENHOUSE,1.18,,
239,CROPS,ASPARAGUS,0.83,L,OK item,VEGETABLES OPENFIELD,0.33,ASPARAGUS* (SUB-TYP),0.83
240,CROPS,CABAGGE,0.234,L,OK item,VEGETABLES OPENFIELD,0.33,GREEN LEAFY VEGETABLES ,0.34
241,CROPS,LETTUCE,0.41,L,OK item,VEGETABLES OPENFIELD,0.33,GREEN LEAFY VEGETABLES ,0.34
242,CROPS,SPINACH,0.338,L,OK item,VEGETABLES OPENFIELD,0.33,GREEN LEAFY VEGETABLES ,0.34
243,CROPS,BEETROOT,0.245,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
244,CROPS,CARROT,0.235,L,OK item,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
245,CROPS,GARLIC,0.708,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
246,CROPS,ONION,0.2223,L,OK item,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
247,CROPS,RADISH,0.15379,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
248,CROPS,SWEDE,0.29,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
249,CROPS,TURNIP,0.35,H,better subtypology,VEGETABLES OPENFIELD,0.33,ROOTS & BULBS ,0.25
250,CROPS,ARTICHOKE,0.33,H,better typol. or subtypol.,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
251,CROPS,BROCCOLI,0.57,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
252,CROPS,CAULIFLOWER,0.3075,L,OK item,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
253,CROPS,CELERY,0.32,H,better typol. or subtypol.,VEGETABLES OPENFIELD,0.33,"VEGETABLES (fruits, steems, flowers)",0.33
